[2025-10-09T05:29:49.889108Z] Actor Renovación iniciado. Suscrito a tópico: Renovacion
[2025-11-14T06:07:25.294008Z] RENOVACION PROCESADA | Usuario=12 | Libro=BOOK-626 | RecibidoGC=2025-11-14T06:07:24.776201Z | Publicado=2025-11-14T06:07:24.776249Z | NuevaFecha=2025-11-28T06:07:25.266257Z | Procesado=2025-11-14T06:07:25.293420Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.307204Z] RENOVACION PROCESADA | Usuario=55 | Libro=BOOK-523 | RecibidoGC=2025-11-14T06:07:24.776906Z | Publicado=2025-11-14T06:07:24.776956Z | NuevaFecha=2025-11-28T06:07:25.279424Z | Procesado=2025-11-14T06:07:25.307127Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.315851Z] RENOVACION PROCESADA | Usuario=55 | Libro=BOOK-523 | RecibidoGC=2025-11-14T06:07:24.776906Z | Publicado=2025-11-14T06:07:24.776956Z | NuevaFecha=2025-11-28T06:07:25.289261Z | Procesado=2025-11-14T06:07:25.315701Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.320002Z] RENOVACION PROCESADA | Usuario=55 | Libro=BOOK-523 | RecibidoGC=2025-11-14T06:07:24.776906Z | Publicado=2025-11-14T06:07:24.776956Z | NuevaFecha=2025-11-28T06:07:25.294216Z | Procesado=2025-11-14T06:07:25.319930Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.335964Z] RENOVACION PROCESADA | Usuario=89 | Libro=BOOK-387 | RecibidoGC=2025-11-14T06:07:24.780362Z | Publicado=2025-11-14T06:07:24.780419Z | NuevaFecha=2025-11-28T06:07:25.307302Z | Procesado=2025-11-14T06:07:25.335886Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.348157Z] RENOVACION PROCESADA | Usuario=89 | Libro=BOOK-387 | RecibidoGC=2025-11-14T06:07:24.780362Z | Publicado=2025-11-14T06:07:24.780419Z | NuevaFecha=2025-11-28T06:07:25.316050Z | Procesado=2025-11-14T06:07:25.348090Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.358312Z] RENOVACION PROCESADA | Usuario=89 | Libro=BOOK-387 | RecibidoGC=2025-11-14T06:07:24.780362Z | Publicado=2025-11-14T06:07:24.780419Z | NuevaFecha=2025-11-28T06:07:25.320372Z | Procesado=2025-11-14T06:07:25.358198Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.382982Z] RENOVACION PROCESADA | Usuario=38 | Libro=BOOK-394 | RecibidoGC=2025-11-14T06:07:24.780813Z | Publicado=2025-11-14T06:07:24.780861Z | NuevaFecha=2025-11-28T06:07:25.336060Z | Procesado=2025-11-14T06:07:25.382831Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.395087Z] RENOVACION PROCESADA | Usuario=38 | Libro=BOOK-394 | RecibidoGC=2025-11-14T06:07:24.780813Z | Publicado=2025-11-14T06:07:24.780861Z | NuevaFecha=2025-11-28T06:07:25.348239Z | Procesado=2025-11-14T06:07:25.395004Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.400439Z] RENOVACION PROCESADA | Usuario=38 | Libro=BOOK-394 | RecibidoGC=2025-11-14T06:07:24.780813Z | Publicado=2025-11-14T06:07:24.780861Z | NuevaFecha=2025-11-28T06:07:25.358673Z | Procesado=2025-11-14T06:07:25.400329Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.413088Z] RENOVACION PROCESADA | Usuario=55 | Libro=BOOK-523 | RecibidoGC=2025-11-14T06:07:24.782314Z | Publicado=2025-11-14T06:07:24.782387Z | NuevaFecha=2025-11-28T06:07:25.383170Z | Procesado=2025-11-14T06:07:25.412994Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.420571Z] RENOVACION PROCESADA | Usuario=55 | Libro=BOOK-523 | RecibidoGC=2025-11-14T06:07:24.782314Z | Publicado=2025-11-14T06:07:24.782387Z | NuevaFecha=2025-11-28T06:07:25.395181Z | Procesado=2025-11-14T06:07:25.420478Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.424021Z] RENOVACION PROCESADA | Usuario=55 | Libro=BOOK-523 | RecibidoGC=2025-11-14T06:07:24.782314Z | Publicado=2025-11-14T06:07:24.782387Z | NuevaFecha=2025-11-28T06:07:25.400562Z | Procesado=2025-11-14T06:07:25.423946Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.435547Z] RENOVACION PROCESADA | Usuario=10 | Libro=BOOK-213 | RecibidoGC=2025-11-14T06:07:24.782429Z | Publicado=2025-11-14T06:07:24.782458Z | NuevaFecha=2025-11-28T06:07:25.413240Z | Procesado=2025-11-14T06:07:25.435481Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.443105Z] RENOVACION PROCESADA | Usuario=10 | Libro=BOOK-213 | RecibidoGC=2025-11-14T06:07:24.782429Z | Publicado=2025-11-14T06:07:24.782458Z | NuevaFecha=2025-11-28T06:07:25.420692Z | Procesado=2025-11-14T06:07:25.443037Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
